Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDK24,9.195,Low Fat,0.10121065,Baking Goods,44.4744,OUT013,1987,High,Tier 3,Supermarket Type1,433.4786345
FDO60,20,Low Fat,0.03443923,Baking Goods,45.1086,OUT045,2002,Small,Tier 2,Supermarket Type1,965.32404
FDK24,9.195,Low Fat,0.101500374,Baking Goods,45.2744,OUT045,2002,Small,Tier 2,Supermarket Type1,679.116
FDO60,20,LF,0.034563936,Baking Goods,45.3086,OUT017,2007,Medium,Tier 2,Supermarket Type1,490.6946
FDO60,20,Low Fat,0.034340926,Baking Goods,45.4086,OUT013,1987,High,Tier 3,Supermarket Type1,981.3892
FDK24,20,Low Fat,0.10080442,Baking Goods,45.4744,OUT027,1985,Medium,Tier 3,Supermarket Type3,1041.3112
FDK24,9.195,Low Fat,0,Baking Goods,45.6744,OUT049,1999,Medium,Tier 1,Supermarket Type1,445.1746745
FDK24,9.195,Low Fat,0.101294945,Baking Goods,46.2744,OUT046,1997,Small,Tier 1,Supermarket Type1,1086.5856
FDK24,9.195,Low Fat,0.101867911,Baking Goods,46.4744,OUT017,2007,Medium,Tier 2,Supermarket Type1,461.5186766
FDK24,9.195,Low Fat,0.101275792,Baking Goods,46.4744,OUT035,2004,Small,Tier 2,Supermarket Type1,950.7624
FDK24,20,Low Fat,0.177354373,Baking Goods,46.6744,OUT019,1985,Small,Tier 1,Grocery Store,135.8232
FDL48,20,Regular,0.08186804,Baking Goods,46.8034,OUT027,1985,Medium,Tier 3,Supermarket Type3,1069.2748
FDL48,19.35,Regular,0.137697119,Baking Goods,47.1034,OUT010,1998,Medium,Tier 3,Grocery Store,145.8102
FDK36,20,Low Fat,0.007180374,Baking Goods,47.4034,OUT027,1985,Medium,Tier 3,Supermarket Type3,631.8442
FDW24,6.8,Low Fat,0.037465846,Baking Goods,47.5034,OUT013,1987,High,Tier 3,Supermarket Type1,534.6374
FDK36,7.09,Low Fat,0.007215314,Baking Goods,47.6034,OUT046,1997,Small,Tier 1,Supermarket Type1,1458.102
FDK36,7.09,Low Fat,0.00721395,Baking Goods,47.9034,OUT035,2004,Small,Tier 2,Supermarket Type1,583.2408
FDK36,7.09,LF,0.00720931,Baking Goods,48.1034,OUT013,1987,High,Tier 3,Supermarket Type1,1069.2748
FDK36,7.09,Low Fat,0.007229947,Baking Goods,48.3034,OUT045,2002,Small,Tier 2,Supermarket Type1,359.5946613
FDL48,19.35,Regular,0.082394321,Baking Goods,48.5034,OUT049,1999,Medium,Tier 1,Supermarket Type1,243.017
FDP36,10.395,Regular,0.091172403,Baking Goods,48.6008,OUT046,1997,Small,Tier 1,Supermarket Type1,545.6217413
FDW24,6.8,Low Fat,0.03748996,Baking Goods,48.6034,OUT035,2004,Small,Tier 2,Supermarket Type1,291.6204
FDK36,7.09,Low Fat,0.012076957,Baking Goods,48.6034,OUT010,1998,Medium,Tier 3,Grocery Store,375.6119355
FDL48,19.35,Regular,0.082250863,Baking Goods,48.7034,OUT035,2004,Small,Tier 2,Supermarket Type1,534.6374
FDL48,19.35,Regular,0.082266419,Baking Goods,48.8034,OUT046,1997,Small,Tier 1,Supermarket Type1,340.2238
FDW24,10.395,Low Fat,0.065652494,Baking Goods,48.9034,OUT019,1985,Small,Tier 1,Grocery Store,48.6034
FDP36,10.395,Regular,0.091688111,Baking Goods,49.0008,OUT017,2007,Medium,Tier 2,Supermarket Type1,860.2136
FDK36,7.09,Low Fat,0,Baking Goods,49.1034,OUT018,2009,Medium,Tier 3,Supermarket Type2,365.5502613
FDY12,9.8,Regular,0,Baking Goods,49.2008,OUT013,1987,High,Tier 3,Supermarket Type1,657.8104
FDL48,19.35,Regular,0.082197959,Baking Goods,49.2034,OUT013,1987,High,Tier 3,Supermarket Type1,729.051
FDL48,19.35,reg,0.082731751,Baking Goods,49.2034,OUT017,2007,Medium,Tier 2,Supermarket Type1,777.6544
FDK36,7.09,Low Fat,0.007226532,Baking Goods,49.3034,OUT049,1999,Medium,Tier 1,Supermarket Type1,381.0216055
FDW24,6.8,Low Fat,0.037649797,Baking Goods,49.5034,OUT018,2009,Medium,Tier 3,Supermarket Type2,366.9192008
FDP36,10.395,Regular,0,Baking Goods,49.6008,OUT049,1999,Medium,Tier 1,Supermarket Type1,546.536335
FDW24,6.8,Low Fat,0.037555348,Baking Goods,49.6034,OUT049,1999,Medium,Tier 1,Supermarket Type1,972.068
FDI48,11.85,Regular,0.055718399,Baking Goods,49.6666,OUT046,1997,Small,Tier 1,Supermarket Type1,635.6331468
FDW24,6.8,Low Fat,0.037709148,Baking Goods,49.7034,OUT017,2007,Medium,Tier 2,Supermarket Type1,365.0217696
FDL48,19.35,Regular,0.082433257,Baking Goods,49.7034,OUT045,2002,Small,Tier 2,Supermarket Type1,1057.936869
FDY12,9.8,Regular,0.14061104,Baking Goods,49.8008,OUT046,1997,Small,Tier 1,Supermarket Type1,809.6128
FDW24,6.8,Low Fat,0.03749705,Baking Goods,49.9034,OUT046,1997,Small,Tier 1,Supermarket Type1,194.4136
FDY12,9.8,Regular,0.141406394,Baking Goods,50.0008,OUT017,2007,Medium,Tier 2,Supermarket Type1,506.008
FDW24,10.395,low fat,0.037315469,Baking Goods,50.0034,OUT027,1985,Medium,Tier 3,Supermarket Type3,1992.7394
FDP36,10.395,Regular,0.091357303,Baking Goods,50.1008,OUT045,2002,Small,Tier 2,Supermarket Type1,546.8377068
FDL48,19.35,Regular,0.082601537,Baking Goods,50.1034,OUT018,2009,Medium,Tier 3,Supermarket Type2,1047.060853
FDY12,9.8,Regular,0.140896203,Baking Goods,50.2008,OUT045,2002,Small,Tier 2,Supermarket Type1,541.164624
FDW24,6.8,Low Fat,0.037573095,Baking Goods,50.2034,OUT045,2002,Small,Tier 2,Supermarket Type1,1166.4816
FDW24,6.8,Low Fat,0.062762374,Baking Goods,50.4034,OUT010,1998,Medium,Tier 3,Grocery Store,48.6034
FDK36,7.09,Low Fat,0.007256127,Baking Goods,50.4034,OUT017,2007,Medium,Tier 2,Supermarket Type1,340.2238
FDY12,9.8,Regular,0.14118383,Baking Goods,50.5008,OUT018,2009,Medium,Tier 3,Supermarket Type2,253.004
FDY12,10.395,reg,0.139930125,Baking Goods,50.5008,OUT027,1985,Medium,Tier 3,Supermarket Type3,360.9001278
FDI48,11.85,Regular,0.055672032,Baking Goods,50.5666,OUT013,1987,High,Tier 3,Supermarket Type1,922.7988
FDI48,11.85,Regular,0.055831398,Baking Goods,50.5666,OUT045,2002,Small,Tier 2,Supermarket Type1,635.1670626
FDY12,9.8,Regular,0.235354055,Baking Goods,50.8008,OUT010,1998,Medium,Tier 3,Grocery Store,101.2016
FDI48,11.85,Regular,0,Baking Goods,51.2666,OUT035,2004,Small,Tier 2,Supermarket Type1,410.1328
FDP36,10.395,Regular,0,Baking Goods,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088
FDI48,11.85,Regular,0.056033565,Baking Goods,51.4666,OUT017,2007,Medium,Tier 2,Supermarket Type1,974.0654
FDP36,11.85,Regular,0,Baking Goods,51.9008,OUT027,1985,Medium,Tier 3,Supermarket Type3,2595.04
FDP36,10.395,Regular,0.091155163,Baking Goods,52.2008,OUT035,2004,Small,Tier 2,Supermarket Type1,569.7586818
FDY24,4.88,Regular,0.223440258,Baking Goods,52.2298,OUT010,1998,Medium,Tier 3,Grocery Store,161.7894
FDY12,9.8,Regular,0.140584452,Baking Goods,52.3008,OUT035,2004,Small,Tier 2,Supermarket Type1,538.175232
FDP36,10.395,Regular,0.091096531,Baking Goods,52.3008,OUT013,1987,High,Tier 3,Supermarket Type1,2226.4352
FDI48,11.85,Regular,0.05544858,Baking Goods,52.3666,OUT027,1985,Medium,Tier 3,Supermarket Type3,944.4173322
FDY24,11.85,Regular,0.23372937,Baking Goods,52.4298,OUT019,1985,Small,Tier 1,Grocery Store,224.3184072
FDY12,9.8,Regular,0.140829653,Baking Goods,52.5008,OUT049,1999,Medium,Tier 1,Supermarket Type1,565.958624
FDI48,9.8,Regular,0.097555725,Baking Goods,52.7666,OUT019,1985,Small,Tier 1,Grocery Store,540.8867598
FDN24,14.1,Low Fat,0.113246012,Baking Goods,52.7956,OUT035,2004,Small,Tier 2,Supermarket Type1,811.4155764
FDY24,4.88,Regular,0.133700752,Baking Goods,52.9298,OUT049,1999,Medium,Tier 1,Supermarket Type1,1995.4026
FDN24,14.1,LF,0.113173172,Baking Goods,52.9956,OUT013,1987,High,Tier 3,Supermarket Type1,821.961756
FDI48,11.85,Regular,0.055805027,Baking Goods,53.0666,OUT049,1999,Medium,Tier 1,Supermarket Type1,512.666
FDN24,14.1,Low Fat,0.113443531,Baking Goods,53.0956,OUT049,1999,Medium,Tier 1,Supermarket Type1,816.0262764
FDY24,4.88,Regular,0,Baking Goods,53.1298,OUT035,2004,Small,Tier 2,Supermarket Type1,808.947
FDI48,11.85,Regular,0.055945372,Baking Goods,53.2666,OUT018,2009,Medium,Tier 3,Supermarket Type2,669.0817626
FDY24,4.88,Regular,0.134037,Baking Goods,53.3298,OUT018,2009,Medium,Tier 3,Supermarket Type2,539.298
FDY24,4.88,Regular,0.133493205,Baking Goods,53.3298,OUT046,1997,Small,Tier 1,Supermarket Type1,281.0693779
FDN24,14.1,low fat,0.113908117,Baking Goods,53.3956,OUT017,2007,Medium,Tier 2,Supermarket Type1,982.7208
FDN24,14.1,Low Fat,0.113728834,Baking Goods,53.7956,OUT018,2009,Medium,Tier 3,Supermarket Type2,826.7845764
FDY24,4.88,Regular,0,Baking Goods,54.1298,OUT045,2002,Small,Tier 2,Supermarket Type1,280.0026294
FDN24,4.88,LF,0.112718928,Baking Goods,54.2956,OUT027,1985,Medium,Tier 3,Supermarket Type3,1310.2944
FDN24,4.88,Low Fat,0.198316649,Baking Goods,54.3956,OUT019,1985,Small,Tier 1,Grocery Store,272.978
FDN24,14.1,Low Fat,0.11326743,Baking Goods,54.5956,OUT046,1997,Small,Tier 1,Supermarket Type1,1037.3164
FDY24,4.88,Regular,0.134248297,Baking Goods,54.9298,OUT017,2007,Medium,Tier 2,Supermarket Type1,289.5020179
FDY24,4.88,Regular,0.133382115,Baking Goods,55.0298,OUT013,1987,High,Tier 3,Supermarket Type1,647.1576
FDY24,4.88,Regular,0.132846758,Baking Goods,55.8298,OUT027,1985,Medium,Tier 3,Supermarket Type3,420.2571507
FDN24,14.1,Low Fat,0.11349714,Baking Goods,56.1956,OUT045,2002,Small,Tier 2,Supermarket Type1,1364.89
FDL12,15.85,Regular,0.122320725,Baking Goods,58.022,OUT017,2007,Medium,Tier 2,Supermarket Type1,993.220596
FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,599.22
FDL12,15.85,Regular,0.121043709,Baking Goods,59.422,OUT027,1985,Medium,Tier 3,Supermarket Type3,1078.596
FDL12,15.85,Regular,0.122128201,Baking Goods,59.522,OUT018,2009,Medium,Tier 3,Supermarket Type2,1018.897596
FDL12,15.85,Regular,0.212963193,Baking Goods,59.522,OUT019,1985,Small,Tier 1,Grocery Store,299.61
FDL12,15.85,Regular,0.121609722,Baking Goods,60.222,OUT035,2004,Small,Tier 2,Supermarket Type1,539.298
FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646
FDL12,15.85,Regular,0.121821828,Baking Goods,60.722,OUT049,1999,Medium,Tier 1,Supermarket Type1,1058.68807
FDL12,15.85,Regular,0.121879396,Baking Goods,61.222,OUT045,2002,Small,Tier 2,Supermarket Type1,1047.998196
FDI60,7.22,Regular,0.064141866,Baking Goods,61.251,OUT010,1998,Medium,Tier 3,Grocery Store,126.502
FDL12,15.85,Regular,0.203588239,Baking Goods,61.622,OUT010,1998,Medium,Tier 3,Grocery Store,1045.078309
FDI60,7.22,Regular,0.03832122,Baking Goods,61.851,OUT046,1997,Small,Tier 1,Supermarket Type1,822.263
FDI60,7.22,Regular,0.038398937,Baking Goods,61.951,OUT045,2002,Small,Tier 2,Supermarket Type1,1518.024
FDI60,7.22,Regular,0.0383808,Baking Goods,62.351,OUT049,1999,Medium,Tier 1,Supermarket Type1,885.514
FDI60,7.22,Regular,0.038135648,Baking Goods,62.851,OUT027,1985,Medium,Tier 3,Supermarket Type3,1648.090521
FDI60,7.22,Regular,0.038477325,Baking Goods,62.951,OUT018,2009,Medium,Tier 3,Supermarket Type2,1138.518
FDI60,7.22,Regular,0.038313974,Baking Goods,63.951,OUT035,2004,Small,Tier 2,Supermarket Type1,507.898842
FDY11,7.22,Regular,0.029417303,Baking Goods,64.1142,OUT027,1985,Medium,Tier 3,Supermarket Type3,2179.472401
FDI60,7.22,Regular,0.03828933,Baking Goods,64.751,OUT013,1987,High,Tier 3,Supermarket Type1,126.502
FDI60,7.22,Regular,0.038537981,Baking Goods,64.951,OUT017,2007,Medium,Tier 2,Supermarket Type1,506.4619176
FDY11,6.71,reg,0.029680868,Baking Goods,65.0142,OUT018,2009,Medium,Tier 3,Supermarket Type2,856.8846
FDY11,6.71,Regular,0.02960641,Baking Goods,65.4142,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266
FDY11,6.71,Regular,0.029560451,Baking Goods,65.8142,OUT046,1997,Small,Tier 1,Supermarket Type1,856.8846
FDY11,6.71,Regular,0.0296204,Baking Goods,66.1142,OUT045,2002,Small,Tier 2,Supermarket Type1,487.9889102
FDY11,6.71,Regular,0.029727657,Baking Goods,66.6142,OUT017,2007,Medium,Tier 2,Supermarket Type1,1120.5414
FDY11,6.71,Regular,0.029535852,Baking Goods,67.5142,OUT013,1987,High,Tier 3,Supermarket Type1,593.2278
FDY11,6.71,Regular,0.029554862,Baking Goods,67.8142,OUT035,2004,Small,Tier 2,Supermarket Type1,482.3352789
FDY36,12.3,Low Fat,0.009429612,Baking Goods,71.338,OUT045,2002,Small,Tier 2,Supermarket Type1,1098.57
FDY36,12.3,Low Fat,0.015751294,Baking Goods,71.638,OUT010,1998,Medium,Tier 3,Grocery Store,934.016244
FDK48,7.445,Low Fat,0.037625107,Baking Goods,73.2354,OUT035,2004,Small,Tier 2,Supermarket Type1,588.8565572
FDK48,7.445,Low Fat,0.037785521,Baking Goods,73.3354,OUT018,2009,Medium,Tier 3,Supermarket Type2,578.7409762
FDK48,7.445,Low Fat,0.037690731,Baking Goods,73.3354,OUT049,1999,Medium,Tier 1,Supermarket Type1,451.4124
FDY36,12.3,Low Fat,0.009410528,Baking Goods,73.738,OUT046,1997,Small,Tier 1,Supermarket Type1,1318.284
FDY36,12.3,Low Fat,0.009463757,Baking Goods,73.838,OUT017,2007,Medium,Tier 2,Supermarket Type1,1245.046
FDY36,12.3,Low Fat,0.009402696,Baking Goods,74.138,OUT013,1987,High,Tier 3,Supermarket Type1,984.849192
FDY36,12.3,Low Fat,0.009364957,Baking Goods,74.238,OUT027,1985,Medium,Tier 3,Supermarket Type3,1171.808
FDY36,12.3,Low Fat,0.016476619,Baking Goods,74.338,OUT019,1985,Small,Tier 1,Grocery Store,146.476
FDY36,12.3,Low Fat,0.009448862,Baking Goods,74.538,OUT018,2009,Medium,Tier 3,Supermarket Type2,999.330966
FDK48,7.445,Low Fat,0.037708542,Baking Goods,74.7354,OUT045,2002,Small,Tier 2,Supermarket Type1,1128.531
FDY36,12.3,Low Fat,0.009408748,Baking Goods,74.838,OUT035,2004,Small,Tier 2,Supermarket Type1,966.53277
FDY36,12.3,Low Fat,0.009425158,Baking Goods,74.838,OUT049,1999,Medium,Tier 1,Supermarket Type1,1537.998
FDK48,7.445,Low Fat,0.037845086,Baking Goods,75.5354,OUT017,2007,Medium,Tier 2,Supermarket Type1,1956.1204
FDT24,12.35,Regular,0.186910605,Baking Goods,75.6328,OUT017,2007,Medium,Tier 2,Supermarket Type1,1027.471588
FDR60,14.3,Low Fat,0.13030659,Baking Goods,75.7328,OUT013,1987,High,Tier 3,Supermarket Type1,617.8624
FDR60,14.3,Low Fat,0.130415118,Baking Goods,75.9328,OUT046,1997,Small,Tier 1,Supermarket Type1,1158.492
FDT24,14.3,Regular,0,Baking Goods,75.9328,OUT027,1985,Medium,Tier 3,Supermarket Type3,3012.0792
FDK48,7.445,Low Fat,0.062988626,Baking Goods,76.1354,OUT010,1998,Medium,Tier 3,Grocery Store,617.8425778
FDT24,12.35,Regular,0,Baking Goods,76.2328,OUT046,1997,Small,Tier 1,Supermarket Type1,1544.656
FDR60,14.3,LF,0.130617879,Baking Goods,76.5328,OUT049,1999,Medium,Tier 1,Supermarket Type1,1203.860944
FDR60,14.3,Low Fat,0.130946374,Baking Goods,76.7328,OUT018,2009,Medium,Tier 3,Supermarket Type2,1312.9576
FDK48,14.3,Low Fat,0.037449987,Baking Goods,76.7354,OUT027,1985,Medium,Tier 3,Supermarket Type3,2783.7098
FDK48,7.445,low fat,0,Baking Goods,76.8354,OUT046,1997,Small,Tier 1,Supermarket Type1,2181.8266
FDV48,12.35,Regular,0.051366901,Baking Goods,77.0644,OUT027,1985,Medium,Tier 3,Supermarket Type3,3221.1404
FDT24,12.35,Regular,0.185704641,Baking Goods,77.1328,OUT013,1987,High,Tier 3,Supermarket Type1,2239.7512
FDR60,14.3,Low Fat,0.130390458,Baking Goods,77.2328,OUT035,2004,Small,Tier 2,Supermarket Type1,231.6984
FDK48,7.445,Low Fat,0,Baking Goods,77.2354,OUT013,1987,High,Tier 3,Supermarket Type1,609.5186062
FDV48,9.195,Regular,0.051827123,Baking Goods,77.4644,OUT018,2009,Medium,Tier 3,Supermarket Type2,1414.1592
FDV48,9.195,Regular,0.051607098,Baking Goods,77.8644,OUT035,2004,Small,Tier 2,Supermarket Type1,758.9209475
FDX60,14.35,Low Fat,0.080578893,Baking Goods,77.996,OUT035,2004,Small,Tier 2,Supermarket Type1,1175.20473
FDX60,12.35,LF,0.080203852,Baking Goods,77.996,OUT027,1985,Medium,Tier 3,Supermarket Type3,2716.464
FDV48,9.195,Regular,0.051908824,Baking Goods,78.1644,OUT017,2007,Medium,Tier 2,Supermarket Type1,1414.1592
FDT24,12.35,reg,0.18614827,Baking Goods,78.2328,OUT049,1999,Medium,Tier 1,Supermarket Type1,1158.492
FDR60,12.35,Low Fat,0.129783577,Baking Goods,78.2328,OUT027,1985,Medium,Tier 3,Supermarket Type3,1004.0264
FDV48,9.195,Regular,0,Baking Goods,78.2644,OUT045,2002,Small,Tier 2,Supermarket Type1,762.8196275
FDR60,14.3,Low Fat,0.130679603,Baking Goods,78.4328,OUT045,2002,Small,Tier 2,Supermarket Type1,1211.316163
FDT24,12.35,Regular,0.185824165,Baking Goods,78.5328,OUT035,2004,Small,Tier 2,Supermarket Type1,695.0952
FDW48,18,Low Fat,0.008533716,Baking Goods,78.5618,OUT013,1987,High,Tier 3,Supermarket Type1,402.809
FDT24,12.35,Regular,0.186616421,Baking Goods,78.6328,OUT018,2009,Medium,Tier 3,Supermarket Type2,1004.0264
FDR60,14.3,Low Fat,0.131152799,Baking Goods,78.6328,OUT017,2007,Medium,Tier 2,Supermarket Type1,231.6984
FDT24,12.35,Regular,0.186236236,Baking Goods,78.7328,OUT045,2002,Small,Tier 2,Supermarket Type1,1390.1904
FDW48,18,Low Fat,0.008540823,Baking Goods,78.9618,OUT046,1997,Small,Tier 1,Supermarket Type1,1549.230516
FDW48,18,Low Fat,0.008558144,Baking Goods,79.0618,OUT045,2002,Small,Tier 2,Supermarket Type1,1208.427
FDV48,9.195,Regular,0.086396038,Baking Goods,79.0644,OUT010,1998,Medium,Tier 3,Grocery Store,157.1288
FDX60,14.35,Low Fat,0.081050006,Baking Goods,79.196,OUT017,2007,Medium,Tier 2,Supermarket Type1,1278.336
